Track Name,Artists,Genres,Duration (ms),Explicit,Popularity,Available Markets,Artist Country
Angel Of The Morning,Juice Newton,country,250440,False,62,184,US
Love On The Rocks,Neil Diamond,singer-songwriter,217893,False,47,184,US
Every Woman in the World,Air Supply,soft rock,209600,False,62,185,AU
The One That You Love,Air Supply,soft rock,259000,False,63,171,AU
Guilty (feat. Barry Gibb),"Barbra Streisand, Barry Gibb",adult standards,264333,False,62,185,"US, AU"
The Best Of Times,Styx,"progressive rock, classic rock, album rock",257866,False,54,184,US
Elvira,The Oak Ridge Boys,"southern gospel, christian country",225626,False,57,184,US
Take It On the Run,REO Speedwagon,"soft rock, classic rock, album rock",239680,False,67,185,US
(There's) No Gettin' Over Me,Ronnie Milsap,"country, traditional country",199680,False,61,184,US
Living Inside Myself,Gino Vannelli,album rock,263226,False,49,185,CA
Woman in Love,Barbra Streisand,adult standards,231840,False,67,185,US
Boy From New York City,The Manhattan Transfer,vocal jazz,222160,False,0,0,US
Urgent,Foreigner,"classic rock, album rock",271200,False,67,175,US
Passion,Rod Stewart,soft rock,333200,False,43,184,GB
Lady (You Bring Me Up),Commodores,motown,293226,False,57,183,US
Crying,Don McLean,folk rock,230560,False,45,185,US
Hearts,Marty Balin,album rock,258773,False,52,184,US
It's My Turn,Diana Ross,"disco, motown",236026,False,45,184,US
You Make My Dreams (Come True),Daryl Hall & John Oates,soft rock,190626,False,79,185,US
I Don't Need You,Kenny Rogers,country,208866,False,48,184,US
How 'Bout Us,Champaign,quiet storm,273226,False,47,185,US
Hit Me With Your Best Shot,Pat Benatar,album rock,171266,False,70,184,US
The Breakup Song,The Greg Kihn Band,new wave,169693,False,0,0,US
Time,The Alan Parsons Project,"progressive rock, classic rock, symphonic rock",314640,False,3,0,GB
Hungry Heart,Bruce Springsteen,rock,199453,False,72,185,US
Sweetheart,Franke & The Knockouts,"arena rock, album rock",251293,False,36,24,US
Somebody's Knockin',Terri Gibbs,2008 universal fire victim,181666,False,47,5,US
More Than I Can Say,Leo Sayer,soft rock,222626,False,38,3,GB
Together,Tierra,heavy metal,264277,False,12,185,ES
Too Much Time On My Hands,Styx,"progressive rock, classic rock, album rock",271266,False,58,184,US
What Are We Doin' In Love!,"Dottie West, Kenny Rogers","country, traditional country",184457,False,31,184,"US, US"
Who's Crying Now,Journey,"classic rock, album rock",300146,False,1,0,US
