,Artist,Count
314,Nancy Wilson,1
313,The Jelly Beans,1
310,The Tams,1
309,The Trashmen,1
1,Jim Reeves,1
280,The Newbeats,1
303,The Hondells,1
302,The Marketts,1
301,The Bachelors,1
300,Diane Renay,1
298,Bobby Freeman,1
296,Stan Getz,1
295,Chad & Jeremy,1
293,Millie Small,1
292,The Rip Chords,1
291,Danny Williams,1
289,Ronny & The Daytonas,1
283,The Serendipity Singers,1
333,Ramsey Lewis Trio,1
335,The Byrds,1
336,Sounds Orchestral,1
337,Barbara Mason,1
373,Dino,1
372,Jack Jones,1
371,Roy Head And The Traits,1
370,Sonny Bono,1
369,The Strangeloves,1
368,Little Anthony & The Imperials,1
365,Joe Tex,1
364,The Fortunes,1
362,Patty Duke,1
361,Vic Dana,1
358,Dickey Lee,1
357,Sir Douglas Quintet,1
355,Ian Whitcomb,1
353,Glenn Yarbrough,1
352,Billy Joe Royal,1
351,Shirley Bassey,1
350,The Moody Blues,1
348,Horst Jankowski,1
347,Herman's Hermits Starring Peter Noone,1
346,Freddie & The Dreamers,1
344,Patti Page,1
343,Shirley Ellis,1
342,Wayne Fontana & The Mindbenders,1
340,The McCoys,1
339,Barry McGuire,1
282,The Honeycombs,1
278,Terry Stafford,1
194,Billy Joe & The Checkmates,1
222,Randy & The Rainbows,1
237,Lonnie Mack,1
236,Claes Janson,1
234,The Enchanters,1
233,Garnet Mimms,1
232,Bill Anderson,1
231,The Fireballs,1
230,Jimmy Gilmer,1
228,The Ronettes,1
226,Ruby And The Romantics,1
225,The Essex,1
224,Trini Lopez,1
223,The Rooftop Singers,1
220,Eydie Gormé,1
277,The Dixie Cups,1
217,The Chantays,1
216,Peggy March,1
215,Inez Foxx,1
214,The Rebels,1
210,Kyu Sakamoto,1
209,The Angels,1
207,Paul & Paula,1
205,The Cascades,1
202,Ronnie And The Hi-Lites,1
198,The Ikettes,1
197,King Curtis,1
196,Jimmy Smith,1
238,Kai Winding,1
239,Kenny Burrell,1
240,Bill Pursell,1
241,Tony Bennett,1
276,The Ray Charles Singers,1
273,Manfred Mann,1
271,Barbra Streisand,1
269,J. Frank Wilson & The Cavaliers,1
268,Gale Garnett,1
266,Louis Armstrong,1
264,Freddie Scott,1
262,Bobby Bare,1
261,Los Indios Tabajaras,1
260,Little Johnny Taylor,1
259,George Hamilton IV,1
258,The Ran Dells,1
257,The Dartells,1
256,Joe Harnell His Piano And Orchestra,1
254,Sunny & The Sunglows,1
253,The Village Stompers,1
252,Rolf Harris,1
251,Allan Sherman,1
250,Doris Troy,1
248,The Cookies,1
247,Jan Bradley,1
246,Johnny Mathis,1
245,Ned Miller,1
244,Nino Tempo & April Stevens,1
242,The Jaynetts,1
612,David Ruffin,1
